id,created_at,session_id,completed_at,wardrobe_size,shopping_frequency,disposal_habit,primary_driver,persona,social_value,emotional_value,functional_value,inflow_outflow_value,set_type,garment_type,how_got,cost,wear_frequency,main_use,main_use_other,why_bought,why_bought_other,how_long_had,why_favorite,use_changed,wash_frequency,repaired,brand,why_not_wear,disposal_plan,consent_given,consent_timestamp
1,2026-05-07 19:58:27.808299+00,1778183748318-8xkqied6w,2026-05-07 19:56:46.683+00,minimal,rarely,rarely,function,The Functional Minimalist,45,59,100,77,A,t-shirt,bought-new,free,once-a-month,other,,on-sale,,,,,,,,,,,
2,2026-05-07 19:58:27.808299+00,1778183748318-8xkqied6w,2026-05-07 19:58:01.471+00,minimal,rarely,rarely,function,The Functional Minimalist,45,59,100,77,B,t-shirt,bought-new,51-100,once-a-week,not-in-use; other,,,,5-6-years,Sentimental value,no,when-dirty,no-but-would,Nike,,,,
3,2026-05-07 19:58:27.808299+00,1778183748318-8xkqied6w,2026-05-07 19:58:25.391+00,minimal,rarely,rarely,function,The Functional Minimalist,45,59,100,77,C,shorts,made-it,51-100,,,,,,5,,,,,dont-like-anymore,textile-bins,,,
4,2026-05-07 20:03:11.002432+00,1778184037150-ddk8qenhi,2026-05-07 20:01:05.567+00,extensive,frequently,regularly,social,The Conscious Curator,65,39,51,100,A,jacket-coat,borrowed-shared-rented,51-100,not-used-last-year,not-in-use,,other,skipped,,,,,,,,,,
5,2026-05-07 20:03:11.002432+00,1778184037150-ddk8qenhi,2026-05-07 20:01:39.726+00,extensive,frequently,regularly,social,The Conscious Curator,65,39,51,100,B,shorts,borrowed-shared-rented,100+,not-used-last-year,not-in-use,,,,7-plus-years,skipped,no,when-dirty,no-but-would,skipped,,,,
6,2026-05-07 20:03:11.002432+00,1778184037150-ddk8qenhi,2026-05-07 20:02:04.753+00,extensive,frequently,regularly,social,The Conscious Curator,65,39,51,100,C,dress,made-it,51-100,,,,,,2,,,,,dont-like-anymore,textile-bins,,,
7,2026-05-07 20:09:49.018402+00,1778184194680-c5947ieye,2026-05-07 20:03:30.016+00,extensive,frequently,regularly,social,The Conscious Curator,55,63,71,100,A,shirt-blouse,borrowed-shared-rented,100+,not-used-last-year,sport,,replace-similar,,,,,,,,,,,
8,2026-05-07 20:09:49.018402+00,1778184194680-c5947ieye,2026-05-07 20:03:51.19+00,extensive,frequently,regularly,social,The Conscious Curator,55,63,71,100,B,dress,gift,51-100,not-used-last-year,sport,,,,7-plus-years,skipped,no,when-dirty,no-but-would,skipped,,,,
9,2026-05-07 20:09:49.018402+00,1778184194680-c5947ieye,2026-05-07 20:09:44.504+00,extensive,frequently,regularly,social,The Conscious Curator,55,63,71,100,C,shorts,borrowed-shared-rented,51-100,,,,,,6,,,,,waiting-occasion,donate-charity,,,
10,2026-05-07 20:11:31.135639+00,1778184618922-h1grzde0w,2026-05-07 20:10:33.841+00,moderate,frequently,regularly,social,The Conscious Curator,63,51,67,83,A,shirt-blouse,made-it,51-100,once-a-month,work,,on-sale,,,,,,,,,,,
11,2026-05-07 20:11:31.135639+00,1778184618922-h1grzde0w,2026-05-07 20:10:54.429+00,moderate,frequently,regularly,social,The Conscious Curator,63,51,67,83,B,dress,gift,51-100,once-each-season,special-occasions,,,,5-6-years,skipped,no,when-dirty,yes-professionally,skipped,,,,
12,2026-05-07 20:11:31.135639+00,1778184618922-h1grzde0w,2026-05-07 20:11:27.898+00,moderate,frequently,regularly,social,The Conscious Curator,63,51,67,83,C,jeans-trousers,borrowed-shared-rented,1-20,,,,,,skipped,,,,,really can't say,gift-friends-family,,,
13,2026-05-07 20:14:12.334552+00,1778184733244-6sqro21ej,2026-05-07 20:12:54.217+00,extensive,frequently,periodically,social,The Conscious Curator,65,55,57,77,A,dress,made-it,100+,not-used-last-year,other,,other,buyitA,,,,,,,,,,
14,2026-05-07 20:14:12.334552+00,1778184733244-6sqro21ej,2026-05-07 20:13:49.519+00,extensive,frequently,periodically,social,The Conscious Curator,65,55,57,77,B,dress,gift,21-50,once-each-season,other,,,,3-4-years,skipped,no,when-dirty,no-but-would,skipped,,,,
15,2026-05-07 20:14:12.334552+00,1778184733244-6sqro21ej,2026-05-07 20:14:10.336+00,extensive,frequently,periodically,social,The Conscious Curator,65,55,57,77,C,shorts,bought-secondhand,51-100,,,,,,2,,,,,dont-like-anymore,donate-charity,,,
16,2026-05-07 20:17:17.979272+00,1778184962077-pt4p70sqn,2026-05-07 20:16:39.39+00,extensive,frequently,regularly,social,The Conscious Curator,55,39,55,100,A,shirt-blouse,made-it,51-100,not-used-last-year,sport; other,,on-sale,,,,,,,,,,,
17,2026-05-07 20:17:17.979272+00,1778184962077-pt4p70sqn,2026-05-07 20:16:58.365+00,extensive,frequently,regularly,social,The Conscious Curator,55,39,55,100,B,shorts,borrowed-shared-rented,100+,not-used-last-year,not-in-use,,,,7-plus-years,skipped,no,few-times,no,skipped,,,,
18,2026-05-07 20:17:17.979272+00,1778184962077-pt4p70sqn,2026-05-07 20:17:15.539+00,extensive,frequently,regularly,social,The Conscious Curator,55,39,55,100,C,shorts,made-it,51-100,,,,,,2,,,,,other-skipped,textile-bins,,,
